language,sentence
Runyankole,Nitubaasa kwiha nkahi embibo nungi erikugumira ebihikiirizi kandi eine akatare?
Ateso,Aibo idumakini oni ikorion lu ipikoritos akolong ka adekasinei.
Lugbara,Ama ecoki ori okpo 'dika cu be saaru 'diyi esu ngua?
Acholi,Kwene ma watwero nongo kodi maber ma two pe cubu dok cato yot?
English,Cassava stems are always needed for planting.
Luganda,Emiti gya muwogo lubeerera gyetaagibwa mu kusimba
Runyankole,"Ebiti bya muhogo eby'okubyara, butoosha nibyetengwa."
Ateso,Ekotoi akito nu emwogo kanu akoru.
Lugbara,Le ola pati eyi ma aa o'du driasi sazaru ci.
Acholi,Tyen gwana pol kare mite me apita
English,The garden has diseased tomato plants.
Luganda,Ennimiro erimu ennyaanya endwadde
Runyankole,Omusiri gurimu enyaanya eziine oburwaire.
Ateso,Ejai enyanya lo edeka ecie musiri.
Lugbara,Amvu 'da ma alea nyanya ori azo be 'diyi ci.
Acholi,Poto man tye ki nyanya ma two obalo
English,How do you access market information for sweet potatoes?
Luganda,Ofuna otya obubaka ku kataale ka lumonde?
Runyankole,Nootunga ota amakuru agarikukwata aha katare k'ebitakuri?
Ateso,Eipone bani idumununa ijo nuikamunitos esokoni lo acok?
Lugbara,MI eco e'yo cu'a maku eyi ma dria ri niri esu geri ngosi?
Acholi,Inongo lok ma lubbe ki biacara me cato layata ki kwene?
English,The radio station has given us a platform to sell our vegetables.
Luganda,Laadiyo etuwadde akadaala okutunda enva endiirwa zaffe
Runyankole,Reediyo etubaasiise kuraanga emboga zaitu kandi tukaziguza.
Ateso,Ejaiki esiteseni lo eredio oni ewai lo igwelanaret idiasio wok.
Lugbara,Rediyo 'di fe amani angu amani ecozu ama ma tibi ini eyi ozizu.
Acholi,Redio stason omiyo ki wan yo me cato pot dek ma wa pure
English,Mobile phones have enabled me to get pesticide information for beans.
Luganda,Essimu zinnyambyeko okufuna obubaka ku ddagala ly'ebijanjaalo
Runyankole,Esimu z'omungaro zimpwereire okutunga amakuru agarikukwata aha mubazi gw'obukooko omu bihimba.
Ateso,Esipedo esimu loakan eong adumunun akiro nuikamunitos ekia lo emaroge.
Lugbara,Simu eyi ko ma aza onita esuzu aro ogbi osu eyi ma dria 'diyi ma dria.
Acholi,Cim cing okonya oweko anongo lok ma lubbe ki kit me nongo yat akira i muranga
English,"Last month, I needed passion fruit information."
Luganda,"Omwezi oguwedde, nayagala obubaka ku butunda"
Runyankole,"Okwezi okuhweire, nkaba ninyetenga amakuru agarikukwata aha butunda."
Ateso,Olap je epuda eong akiro nuka ematuda.
Lugbara,"Imba ajerisi, ale ndra onita matunda ma dria."
Acholi,"Dwe mukato, abedo ki miti me nongo pwony i kom matunda"
English,Market information for bananas should be given to all farmers.
Luganda,Obubaka ku katale k'amatooke bulina okuweebwa abalimi bonna
Runyankole,"Amakuru agarikukwata aha katare k'ebitookye, gashemereire kuhika abahingi boona."
Ateso,Akiro nu esokoni nuikamunitos etaget ekot ijaikinai akoriok.
Lugbara,Le 'ba ma fe 'ba amvu 'yapi 'diyini cu aje a'bua eyini ri 'ba dria dri.
Acholi,Lok ma lubbe ki biacara me labolo omyero kimi ki lupur weng
English,Farmers need information on companies that have good seedlings for tomatoes.
Luganda,Abalimi beetaaga obubaka ku makampuni agalina ensigo y'ennyaanya ennungi
Runyankole,Abahingi bashemereire kumanya kampuni ezirikuguza embibo nungi y'enyanya.
Ateso,Ekotosi akoriok akiro nuikamunitos ikampunin luejaas ka ikito ludidika lu enyanya.
Lugbara,Ba amvu 'yapi 'diyi le eyo oni amuti nyanya ori ala 'diyi be 'diyi ma dria.
Acholi,Lupur mito ngec i kom luwil madongo calo kampuni matye ki kodi nyanya ma rwome malo
English,Some of the shops where farmers can get fertilizers and good planting materials.
Luganda,Amaduuka agamu abalimi gye basobola okufuna ebigimusa n'ebikozesebwa ebirungi mu kusimba
Runyankole,Amaduuka agamwe ahu abahingi barikubaasa kutunga orwezo n'embibo nungi.
Ateso,Icie idukai lu epedorete akoriok adumakin ikee lueyaunete ebolia ka iboro lu ikoris.
